gene	p-value	label
PIGL	0.1531719929412062	0
PRKCSH	0.1531954943096518	0
ACOT13	0.1532450814225377	0
TRIB2	0.1532477164993534	-1
MYH2	0.1532539522912457	0
MAP3K7	0.1533752501356395	0
ZNF680	0.1534775039119645	0
ZIC1	0.1539137658840527	0
HSPB11	0.1540306217631677	-1
RALGAPA2	0.1544164824746388	-1
ARF5	0.1544443542809044	0
PHLDB3	0.1547879901061195	0
IRF9	0.1548557721727037	-1
PIGM	0.1552887335781486	0
PIGP	0.155559858363138	0
AKAP9	0.1556151537953822	1
SCGB3A1	0.1563210484603429	0
SMARCB1	0.156882862969684	1
SPCS2	0.1569089552432309	-1
PIGV	0.1574621568850456	0
ERBB2	0.1577022782455667	0
SPICE1	0.1578950245480868	0
STAT1	0.15794106470454	0
DUSP2	0.1581270004439938	0
BCL2L11	0.1592559582830672	0
CYHR1	0.1592975919043232	0
CDK5	0.159610331776675	0
ATP8A2	0.1597668923307368	0
CCHCR1	0.159941704021181	0
SPG21	0.1600500264035825	-1
TACO1	0.1601212151029832	0
IMMP1L	0.1601364981766178	0
PPP4C	0.1608865481570618	0
DPH1	0.1617064523564919	0
CMTM7	0.1618082063294746	0
INSR	0.161896155042568	0
ALKBH4	0.1623546245491921	0
SOX13	0.1629090036731976	0
ATP9B	0.163363188781113	0
TGFBR1	0.163606709620766	0
PIGZ	0.1643958046787387	0
KLHL13	0.1648484429498019	0
ANKRA2	0.165092149010449	0
PRR4	0.1652191424393559	-1
PIGA	0.1656755523671452	0
ATP10D	0.165722642734926	0
RBM14	0.1658702454192972	0
LSM11	0.1664101983773464	0
NR3C1	0.1667967349485404	0
DUSP10	0.1688190997718353	0
HIRA	0.169293521319542	0
SLC25A40	0.1694719989406576	0
ZMYND11	0.1697211236417725	0
LIMK1	0.1697687560748345	0
RHOA	0.1698936668163554	0
BANF1	0.1700045142557221	0
NF2	0.1701101049120627	1
RNF123	0.170319022460837	0
SF1	0.1704978924727682	0
DUSP16	0.1706084326638281	0
DENND2D	0.1707571911684255	0
GPAA1	0.1717434798925394	0
TLN1	0.1720651675708149	0
ATP10B	0.1721435375676708	0
PIGS	0.1721490340900398	0
ZKSCAN1	0.1727036423369556	-1
DNASE1L3	0.1729969404100752	0
CCT2	0.1733102146438376	0
CHCHD2	0.1741505991128318	0
LBR	0.1744687942901037	0
TM4SF19	0.1745541173461702	-1
PLSCR4	0.1749182930306482	0
RNASET2	0.1749308899979432	0
SORD	0.174969013450306	0
DDX11	0.1750694158739763	0
GMPPB	0.1751992596429993	0
PFKFB1	0.175671928065641	0
ICMT	0.1757727793252581	0
FCHO1	0.1765094700219232	0
FBLIM1	0.1767252850152654	-1
SFMBT2	0.1776448192286188	0
AASDH	0.1780768598817476	0
PRDM10	0.1786008147356415	0
MAP3K15	0.1786173169673303	0
EMC2	0.1786660400844678	0
PQBP1	0.1791971543493116	0
LSM6	0.179273628907697	0
DUSP6	0.1792974602194745	0
ATP8B3	0.180196929595814	0
FASLG	0.1802349574725004	0
DNAJC2	0.1802523978985681	0
LYN	0.1803866868338091	0
RPS6KB1	0.1805497891422082	0
ELOVL5	0.1806583943877605	0
RAB12	0.1808542228579008	0
MAP3K4	0.1809644124482639	0
TMEM59	0.1809809854731568	0
MORN4	0.1810077858992649	0
PFKL	0.181103572032157	0
FSD1L	0.1815734734617586	0
AZI2	0.1815985954437766	0
HES7	0.1819556665967886	0
C1QTNF6	0.1820403491587157	0
AFF2	0.1821162195994915	0
RAB2A	0.1821680437222685	-1
TOMM34	0.1822647533519678	0
USP27X	0.1826338549285832	0
TSC2	0.1826776167931652	0
PDS5B	0.1829508577014105	0
PIGQ	0.1830814865006995	0
ARL5A	0.1831794853913153	0
PIGG	0.1832825159784737	0
ATP6AP1	0.1837566462785864	0
FAM98A	0.1840213561787121	0
ATP10A	0.1842798178621384	0
NDUFS1	0.1847166965011696	0
SOX9	0.1849554485248926	0
DNAJB2	0.1851835069838556	0
ARV1	0.1861505469390524	0
NET1	0.1862260351578077	0
LSM3	0.1863118275674629	0
PAK2	0.1865060483388558	0
ABI3BP	0.1866466421947503	0
ZBTB17	0.1867594684702017	0
DEGS1	0.1868095562955558	0
SCP2	0.1868125246164279	0
SNX7	0.1869920885312569	0
ILF3	0.1872710169566098	0
